Frame,ANKX,ANKY,FTANG,FTACC,COMX,COMY,ACCX,ACCY,FX,FY,COPX
194,0.2577,0.0924,0.0553,-97.253,0.2869,0.0551,-7.114,-7.4673,-84.43,546.84,0.3569
195,0.2568,0.0913,0.05193,-70.762,0.2867,0.0548,-2.4955,-4.3902,-76.17,542.72,0.3567
196,0.2554,0.089,0.04364,1.483,0.2863,0.0542,-2.9564,-0.164,-60.9,555.1,0.3534
197,0.2539,0.0865,0.03545,38.855,0.2856,0.0537,3.4217,1.8391,-39.74,572.34,0.349
198,0.2528,0.0844,0.02996,59.689,0.2852,0.0532,2.3901,4.0752,-14.41,589.99,0.344
199,0.2521,0.0835,0.02861,30.618,0.285,0.053,3.3816,2.6821,7.24,597.11,0.3399
200,0.2519,0.0837,0.0294,-11.256,0.285,0.0531,1.2554,2.5715,14.36,578.96,0.3387
201,0.2522,0.0844,0.0294,11.243,0.2851,0.0533,-1.2565,0.3096,7.98,539.03,0.3407
202,0.2528,0.085,0.03018,-9.678,0.2851,0.0535,-0.158,-1.907,0.2,493.74,0.3441
203,0.2533,0.0854,0.03028,-9.659,0.2851,0.0536,-0.1574,0.9711,-1.92,457.19,0.3466
204,0.2537,0.0854,0.02972,8.094,0.2851,0.0537,0.1319,-0.8138,-0.13,432.59,0.3477
205,0.2538,0.0853,0.02972,9.657,0.2851,0.0538,0.1574,0.4691,1.3,415.36,0.3482
206,0.2537,0.0853,0.03039,-9.657,0.2851,0.054,-0.1574,-1.9091,0.88,400.96,0.3488
207,0.2535,0.0852,0.03039,-9.657,0.2851,0.054,-0.1574,-0.4691,-1.01,388.9,0.3492
208,0.2532,0.085,0.02972,0.002,0.2851,0.0539,-1.4406,-1.4403,-2.55,380.36,0.3493
209,0.2529,0.0847,0.02905,0.002,0.285,0.0538,-1.4406,-0.0003,-1.88,375.9,0.3488
210,0.2526,0.0845,0.02838,-9.646,0.2848,0.0537,1.2796,0.9693,1.32,374.39,0.3476
211,0.2524,0.0843,0.02704,19.299,0.2847,0.0536,0.319,0.9404,5.72,374.08,0.3461
212,0.2522,0.0842,0.02704,-1.595,0.2846,0.0536,1.4135,0.1602,9.58,373.12,0.345
213,0.2522,0.0842,0.02693,3.189,0.2846,0.0536,0.053,-0.3205,11.35,370.65,0.3447
214,0.2522,0.0842,0.02704,6.466,0.2846,0.0536,1.5471,0.7902,10.48,367.31,0.345
215,0.2522,0.0842,0.0276,1.597,0.2847,0.0536,0.0259,-0.1606,7.85,364.21,0.3455
216,0.2523,0.0843,0.02827,-19.314,0.2848,0.0537,-0.3188,0.5012,4.77,361.94,0.3459
217,0.2524,0.0843,0.0276,9.657,0.2849,0.0537,-1.2806,-0.9706,1.99,360.87,0.3463
218,0.2526,0.0843,0.0276,0,0.2849,0.0537,0,0,-0.12,361.08,0.3468
219,0.2526,0.0843,0.0276,0,0.2849,0.0537,0,0,-1.72,362.96,0.3473
220,0.2526,0.0842,0.0276,-9.655,0.2849,0.0537,-0.16,0.9703,-3.2,366.86,0.3477
221,0.2526,0.0842,0.02693,0.002,0.2849,0.0538,-0.0006,-1.4403,-4.68,372.29,0.3475
222,0.2526,0.0841,0.02626,19.305,0.2849,0.0538,0.3213,-0.4999,-6.17,378.55,0.3469
223,0.2526,0.084,0.02693,-19.305,0.2849,0.0537,1.1187,0.4999,-7.63,384.3,0.3463
224,0.2527,0.0838,0.02626,11.253,0.285,0.0537,-1.2527,-1.1308,-9.07,388.54,0.3458
225,0.2527,0.0838,0.02637,-3.202,0.285,0.0536,-0.0534,1.7617,-10.47,391.07,0.3452
226,0.2528,0.0837,0.02626,-8.05,0.285,0.0536,-1.5746,0.8088,-11.45,392.54,0.3442
227,0.2527,0.0837,0.02559,0.002,0.2849,0.0536,1.4394,-1.4403,-11.81,393.87,0.3432
228,0.2527,0.0837,0.02492,0.002,0.2849,0.0536,-1.4406,1.4397,-11.9,395.04,0.3419
229,0.2525,0.0836,0.02425,0.002,0.2847,0.0537,1.4394,-1.4403,-11.86,395.6,0.3406
230,0.2524,0.0836,0.02358,9.644,0.2847,0.0536,0.1631,0.4714,-11.66,395.17,0.3391
231,0.2521,0.0837,0.02358,-11.276,0.2847,0.0536,-0.1915,-0.3076,-11.44,393.8,0.3375
232,0.2518,0.0837,0.0228,12.911,0.2847,0.0536,-1.2206,-1.2966,-11.03,391.85,0.3359
233,0.2516,0.0838,0.02291,-3.269,0.2846,0.0535,1.3844,1.7683,-10.43,389.49,0.334
234,0.2515,0.0839,0.0228,-6.371,0.2846,0.0535,-1.5487,-0.8003,-10,386.61,0.3323
235,0.2515,0.0839,0.02224,-3.279,0.2845,0.0535,1.3833,1.7692,-9.7,382.78,0.3307
236,0.2515,0.084,0.02146,1.643,0.2845,0.0536,0.0274,-1.6051,-9.4,378.5,0.3292
237,0.2514,0.084,0.02079,0.002,0.2845,0.0535,-1.4406,1.4397,-9.06,374.09,0.3277
238,0.2513,0.0841,0.02012,-11.307,0.2844,0.0536,1.2426,-0.3054,-8.49,369.07,0.3262
239,0.2511,0.0843,0.01866,11.307,0.2843,0.0536,0.1953,0.305,-7.74,363.25,0.3248
240,0.2508,0.0845,0.018,-1.687,0.2843,0.0537,-0.0303,0.1691,-7.03,356.8,0.3237
241,0.2506,0.0847,0.01721,3.38,0.2843,0.0538,-1.3812,-0.3392,-6.53,349.67,0.3226
242,0.2503,0.0849,0.01666,-13.024,0.2842,0.0538,1.2085,-0.1338,-6.06,342.01,0.3211
243,0.25,0.0851,0.0152,11.336,0.2842,0.0539,-1.2402,0.3028,-5.47,334,0.3193
244,0.2497,0.0853,0.01453,0.002,0.2841,0.054,1.4394,-0.0003,-4.91,325.61,0.3175
245,0.2494,0.0855,0.01386,9.631,0.2841,0.054,-1.2677,-0.9657,-4.17,317.1,0.3157
246,0.2491,0.0857,0.01386,-20.991,0.284,0.054,1.0623,0.6644,-2.99,308.7,0.3139
247,0.2487,0.086,0.01241,20.991,0.2839,0.0541,-1.0623,-0.6644,-1.69,300.13,0.312
248,0.2483,0.0863,0.01241,-17.512,0.2838,0.0541,-0.3175,0.3151,-0.71,291.26,0.3101
249,0.248,0.0866,0.01119,6.138,0.2837,0.0541,1.5501,0.8246,-0.3,282.53,0.3081
250,0.2476,0.0869,0.0104,1.75,0.2837,0.0542,0.0312,-0.1755,-0.19,274.18,0.3065
251,0.2473,0.0872,0.00973,0.002,0.2837,0.0542,-0.0006,-0.0004,-0.11,265.77,0.3052
252,0.2469,0.0875,0.00906,0.002,0.2837,0.0543,-0.0006,-0.0004,0.13,256.97,0.304
253,0.2466,0.0879,0.0084,9.619,0.2837,0.0544,-1.2627,-0.9635,0.48,248.23,0.3027
254,0.2462,0.0882,0.0084,-9.617,0.2836,0.0544,-0.1779,0.9632,0.54,240.14,0.3018
255,0.2458,0.0886,0.00773,0.002,0.2835,0.0544,-0.0006,-1.4404,0.31,232.73,0.3011
