Time(s),Length(m),[Calcium],Force(N)
 1.114,0.252186,1.000000,61.408275
 1.116,0.252131,1.000000,61.406493
 1.118,0.252075,1.000000,61.404563
 1.120,0.252019,1.000000,61.402484
 1.122,0.251964,1.000000,61.400257
 1.124,0.251908,1.000000,61.397880
 1.126,0.251852,1.000000,61.395355
 1.128,0.251797,1.000000,61.392681
 1.130,0.251741,1.000000,61.389858
 1.132,0.251686,1.000000,61.386885
 1.134,0.251630,1.000000,61.383762
 1.136,0.251574,1.000000,61.380490
 1.138,0.251519,1.000000,61.377068
 1.140,0.251463,1.000000,61.373496
 1.142,0.251407,1.000000,61.369774
 1.144,0.251351,1.000000,61.365902
 1.146,0.251296,1.000000,61.361879
 1.148,0.251240,1.000000,61.357705
 1.150,0.251184,1.000000,61.353381
 1.152,0.251129,1.000000,61.348905
 1.154,0.251073,1.000000,61.344279
 1.156,0.251017,1.000000,61.339501
 1.158,0.250962,1.000000,61.334572
 1.160,0.250906,1.000000,61.329491
 1.162,0.250850,1.000000,61.324259
 1.164,0.250794,1.000000,61.318875
 1.166,0.250739,1.000000,61.313339
 1.168,0.250683,1.000000,61.307650
 1.170,0.250627,1.000000,61.301810
 1.172,0.250571,1.000000,61.295817
 1.174,0.250516,1.000000,61.289672
 1.176,0.250460,1.000000,61.283374
 1.178,0.250404,1.000000,61.276923
 1.180,0.250348,1.000000,61.270319
 1.182,0.250293,1.000000,61.263562
 1.184,0.250237,1.000000,61.256651
 1.186,0.250181,1.000000,61.249588
 1.188,0.250125,1.000000,61.242370
 1.190,0.250069,1.000000,61.234999
 1.192,0.250014,1.000000,61.227474
 1.194,0.249958,1.000000,61.219794
 1.196,0.249902,1.000000,61.211961
 1.198,0.249846,1.000000,61.203972
 1.200,0.249790,1.000000,61.195829
 1.202,0.249735,1.000000,61.187531
 1.204,0.249679,1.000000,61.179079
 1.206,0.249623,1.000000,61.170471
 1.208,0.249567,1.000000,61.161707
 1.210,0.249511,1.000000,61.152788
 1.212,0.249455,1.000000,61.143567
 1.214,0.249399,1.000000,61.132621
 1.216,0.249343,1.000000,61.121646
 1.218,0.249288,1.000000,61.110635
 1.220,0.249232,1.000000,61.099578
 1.222,0.249176,1.000000,61.088467
 1.224,0.249120,1.000000,61.077294
 1.226,0.249064,1.000000,61.066052
 1.228,0.249008,1.000000,61.054735
 1.230,0.248952,1.000000,61.043336
 1.232,0.248896,1.000000,61.031850
 1.234,0.248840,1.000000,61.020271
 1.236,0.248784,1.000000,61.008595
 1.238,0.248728,1.000000,60.996817
 1.240,0.248672,1.000000,60.984932
 1.242,0.248616,1.000000,60.972938
 1.244,0.248560,1.000000,60.960830
 1.246,0.248504,1.000000,60.948604
 1.248,0.248448,1.000000,60.936258
 1.250,0.248393,1.000000,60.923789
 1.252,0.248337,1.000000,60.911194
 1.254,0.248281,1.000000,60.898470
 1.256,0.248225,1.000000,60.885616
 1.258,0.248169,1.000000,60.872628
 1.260,0.248113,1.000000,60.859506
 1.262,0.248057,1.000000,60.846247
